"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405463417.11746","487602457.746416","596423607.114715","695304363.031101","764887117.194486","872138715.083799","958463184.357542","1082979720.67039","1245688268.15642","1320474860.3352","1379960893.85475","1531944134.07821","1665100558.65922","1722798882.68156","1873452513.96648","1920111731.84358","1941340782.12291","2021229050.27933","2228491620.11173","2330726256.98324","2424581005.58659","2615083798.88268","2745251396.64804","2498882681.56425","2390502793.29609","2549720670.39106","2534636871.50838","2727849720.67039","2790849162.01117","2962905027.93296","2983636871.50838","3092430167.59777","3202188606.92893","","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","19299444453.2844","19709535909.4463","21478715486.3163","25715008783.1558","23510800233.224","26791601695.9719","29131535492.9188","30151828539.8118","32853799013.0348","37717646992.7669","40287263976.5417","44445200471.0446","48267317150.5396","62938945069.6515","78195532918.0907","83376544652.8579","83151564592.3198","94921754118.2311","106270914812.575","124410159537.594","156402020579.786","160264604350.209","154559945629.773","159644504107.099","145918624822.427","130347551478.771","146921174384.985","179612311194.848","188869581508.182","194405736391.834","212185847636.195","220607545655.716","220063005938.32","233869615673.327","238919172017.812","269498561282.166","268250521535.699","282013878700.82","265649661675.879","262011704777.849","283751640320.985","258660109000.795","264707648997.268","352442599635.079","438565119110.543","511897508172.382","575568771652.068","660774462147.457","707853210440.607","712053896956.71","846810044359.644","942710850898.201","949849051927.147","963560356978.003","983748641613.9","918647122201.58","872023488531.325","984255550008.411","1011723274893.29","1008375499870.66","918815487643.222",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","","4055179566.34981","4515558808.10994","5226778808.89209","6209137624.77181","6971285594.68013","9747879531.86311","10109305182.952","12416161048.8412","15856678596.148","17805113118.8938","19907317065.6666","20146404996.223","20497126770.1335","19134211763.859","18116562464.9088","18753469630.2586","18053228578.8878","18799450742.7823","20116137325.8206",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","10404280784.1531","11128050589.2821","11943353288.4767","12676515453.6754","13838577015.1848","14862472886.1754","15832846880.9342","14426432397.412","14880350847.4193","16882094302.9685","23504608014.6703","20832819361.2583","25264956496.1857","31273822294.4754","44214489605.7396","51444737234.3198","62129396932.5444","65315014927.3619","71199715512.1281","88628410997.2053","112031316716.518","211003522772.267","187163730429.134","138115205724.066","114262672752.222","116507304373.059","107497531255.437","110321757308.765","108943462603.12","101768781748.054","121802185300.139","117457042740.623","118282284598.653","98826405551.0238","86281770253.474","108221322522.552","125763049173.424","127063932192.747","130106844606.853","137520164451.485","140407973778.931","148012003011.166","176933365387.396","204641949829.561","254090255061.055","310554338477.887","393296680919.431","461777599573.788","566425696836.635","506996402016.437","591582966686.497","670962551547.58","727571396578.054","820787588844.362","851487150651.953","760729687146.574","690543020916.229","683741574626.192","741691624372.788","794572474605.872","784587603322.866",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5934073603.54849","5553824463.82274","5553824463.82274","5787823808.69565","6135166254.2408","7558613007.90635","7076793822.60201","8089279284.72241","8775116269.16722","10207922517.1839","11236275842.7358","","","","3390500000","5561222222.22222","7526963963.96396","7649716157.20524","6506619144.60285","6152936539.21955","9129634978.33773","8936063723.20121","15285594828.418","17812705294.325","23552052407.5488","36970918699.2523","52381006892.038","65266452081.386","88538611205.1433","70307163678.238","83799496611.2004","111789686464.441","128052853643.106","136709862831.194","145712200312.505","116193649124.151","101123851090.455","122123822333.59","101353230784.594","89417190341.2533","58375976292.9678",
"Albania","ALB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1857338011.85488","1897050133.42015","2097326250","2080796250","2051236250","2253090000","2028553750","1099559027.77778","652174990.837304","1185315468.46295","1880951520.3972","2392764853.42107","3199641335.93751","2258513974.0968","2545964540.88383","3212121650.97755","3480355258.04122","3922100793.5403","4348068242.19512","5611496257.14231","7184685781.51876","8052073539.38058","8896072918.9814","10677324144.4289","12881353507.8539","12044208085.864","11926922828.9911","12890764531.3284","12319830437.3467","12776220507.0162","13228147516.1168","11386850129.8411","11861199830.8396","13019689336.6919","15156432309.8977","15400242874.8812","14887629268.2927",
"Andorra","AND","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","78619206.0850963","89409820.3592814","113408231.944085","150820102.798401","186558696.279204","220127246.376812","227281024.620741","254020153.340635","308008897.569444","411578334.159643","446416105.825017","388958731.302938","375895956.383462","327861832.946636","330070689.298282","346737964.774951","482000594.03588","611316399.407088","721425939.15155","795449332.396346","1029048481.88051","1106928582.86629","1210013651.87713","1007025755.00065","1017549124.33238","1178738991.19295","1223945356.62682","1180597272.72727","1211932397.81713","1239876305.13531","1429049198.45218","1546926174.49664","1755910031.99699","2361726862.30248","2894921777.99851","3159905484.39249","3456442102.622","3952600602.24473","4085630584.44412","3674409558.21061","3449966856.68832","3629203786.19154","3188808942.56713","3193704343.20627","3271808157.30038","2789870187.50693","2896679211.86628","3000180750.11297","3218316013.22626","3155065487.51819","",
"Arab World","ARB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","35078720524.0523","38227279776.912","43222514240.0006","49925445320.7622","59481318267.1842","75456689113.8424","143056278630.558","158175180743.852","196889997696.395","227360108631.098","249530008934.878","339195156953.35","458967895331.221","474809203244.265","445859167400.533","419155475693.013","425802178833.754","424831835747.662","413760375234.766","450002200591.649","426714430186.924","450081912522.867","622546502910.267","438682148808.174","473712092203.663","482663391259.195","507659657046.364","555939076958.984","614062290581.847","662176074566.767","644356749485.222","712683742625.907","815844667571.601","798335007342.79","802951234861.09","887662901502.109","1056020815870.57","1297615397410.14","1532823526115.71","1789133966865.72","2253682728963.4","1973891055458.68","2302594798940.35","2491545638942.8","2728987909781.9","2787516210230.63","2818609932968.74","2452006404164.22","2400962304203.33","2455071315221.43","2717932648633.48","2763204997182.88","2436287867170.8",
"United Arab Emirates","ARE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","14720672506.5004","19213022691.0526","24871775164.6043","23775831783.4263","31225463217.7582","43598748449.0479","49333424135.1131","46622718605.2847","42803323345.1376","41807954235.903","40603650231.5445","33943612094.7971","36384908744.2114","36275674203.2144","41464995913.9199","50701443748.2975","51552165622.4462","54239171887.769","55625170253.337","59305093979.842","65743666575.8649","73571233996.1863","78839008444.5655","75674336283.1858","84445473110.9598","104337372362.151","103311640571.818","109816201497.617","124346358066.712","147824370319.946","180617467964.602","222116541865.214","257916133424.098","315474615738.598","253547358747.447","289787338325.391","350666031313.819","374590605854.323","390107556160.654","403137100068.074","358135057862.492","357045064669.843","385605506848.196","422215043594.282","417215559513.364","358868765174.924",
"Argentina","ARG","GDP (current US$)","NY.GDP.MKTP.CD","","","24450604877.6081","18272123664.4715","25605249381.7597","28344705966.6389","28630474727.9023","24256667553.2569","26436857247.4982","31256284543.6155","31584210365.5447","33293199095.4881","34733000536.2862","52544000116.9037","72436777342.4554","52438647921.9226","51169499890.7722","56781000100.9448","58082870156.2634","69252328953.3789","76961923741.9479","78676842366.4213","84307486836.724","103979106777.911","79092001998.032","88416668900.2596","110934442762.694","111106191358.197","126206817196.091","76636898036.4712","141352368714.691","189719984268.485","228788617201.696","236741715015.015","257440000000","258031750000","272149750000","292859000000","298948250000","283523000000","284203750000","268696750000","97724004251.8602","127586973492.177","164657930452.787","198737095012.282","232557260817.308","287530508430.568","361558037110.419","332976484577.619","423627422092.49","530163281574.658","545982375701.128","552025140252.246","526319673731.638","594749285413.212","557531376217.967","643628665302.155","524819742918.669","451932356085.842","389288056265.325",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256838857.60997","2069870129.87013","1272835453.42634","1201312829.27524","1315158636.67553","1468317435.20148","1596968946.23708","1639492444.76152","1893726437.26462","1845482173.02732","1911563668.85006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469950.09033","6384451606.1421","9206301700.39619","11662040713.8753","8647936747.98704","9260284937.79781","10142111334.4961","10619320048.5857","11121465767.4067","11609512939.7542","10553337672.9872","10546135160.031","11527458565.7334","12457941907.0333","13619291361.2814","12641209802.112",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","524000000","509000000","500000000","493000000","518000000","560000000","675000000","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","648000000","709000000",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","77496753.7037037","87879341.4814815","109079978.888889","131431026.666667","147841734.444444","164369278.888889","182144092.962963","208372846.296296","240923924.814815","290440140.740741","337174861.851852","398637727.777778","438794788.518519","459470370.37037","481707407.407407","499281481.481481","535174074.074074","589429629.62963","577281481.481481","633729629.62963","680618518.518518","727859259.259259","766200000","826370370.37037","800481481.481481","814381481.481481","856396296.296296","919729629.62963","1022962962.96296","1157662962.96296","1312759259.25926","1370070370.37037","1228329629.62963","1148700000","1137637037.03704","1199948148.14815","1181448148.14815","1249733333.33333","1336692592.59259","1436585185.18519","1467977777.77778","1605944444.44444","1687533333.33333","1370281481.48148",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18606786874.23","19683055213.3498","19922723709.262","21539926083.548","23801097547.3177","25977153096.6514","27309889125.322","30444618658.3044","32716989584.4999","36686079068.2047","41337215813.6409","45222309329.1522","52051401869.1589","63844971172.3254","88981577008.1061","97333060221.2208","105101474851.885","110387703601.744","118535980148.883","134941497216.858","150032311977.716","176953442470.684","194104601125.455","177333645297.146","193593551892.773","180573751629.976","182368494683.828","189400476442.562","236065919674.04","299767934207.312","311326664101.578","325902990346.127","325480273782.973","312126194491.287","322807333102.733","367915800415.8","401089529590.288","435323994365.315","399404463135.047","389098884572.001","415576210513.094","379083932596.329","395342716617.832","467390797903.32","614166310997.297","695075176665.163","747556154537.287","853955405511.502","1055127126230.98","928042998085.702","1147589183475.73","1397907916789.9","1546508558465.66","1576335282651.07","1467504819608.92","1350534154255.76","1206685107002.47","1326882872011.46","1428529571351.06","1391952510370.48","1327836171068.51",
